"1762979508918084079,""Wed Feb 28 23:14:04 +0000 2024"",""1"",""Ih kmu gbole hoax loh Amerika kan ga ngasi selamat krna Amerika tu takut ama prabowo gibran siapa si yg ga segan sama presiden dan wapres indo yg keren bgt itu denger2 presiden amrik aja sampe minta diajarin joget oke gas loh sbg tanda respect kpd kakek owo "",""1762979508918084079"","""","""",""in"",""99L"",""0"",""0"",""0"",""https://x.com/dimpbribri_/status/1762979508918084079"",""1469635340465885190"",""dimpbribri_""";;;;
"1762296966980182367,""Wed Feb 28 23:13:34 +0000 2024"",""0"",""@DokterTifa @gibran_tweet Kalo emang punya?"",""1762979384104018296"","""",""DokterTifa"",""in"",""bekasi"",""0"",""0"",""0"",""https://x.com/Ario_Sugiono/status/1762979384104018296"",""925436996"",""Ario_Sugiono""";;;;
"1762448810079564089,""Wed Feb 28 23:12:27 +0000 2024"",""0"",""@udimien @j3mblunk @ummuibnrizq @bangZhack86 @gibran_tweet Lu mah sok iye dan sok pinter panas ih liat orng bnyk omong gini"",""1762979102603260158"","""",""udimien"",""in"","""",""0"",""0"",""0"",""https://x.com/vrasraya16/status/1762979102603260158"",""1618851891408179201"",""vrasraya16""";;;;
"1762979053416731042,""Wed Feb 28 23:12:15 +0000 2024"",""0"",""#ClimateScam #ClimateCult #PlandedemitCopedHOAX DUKUNG&amp";"TINDAKAN TEPAT para PETANI LUAR BIASA dlm meLAWAN️️ WorldHoaksOrganization WEF dan BUDAK-BUDAKnya SIAPAPUN itu️️ CC: Bapak Presiden R.I. Ir. @jokowi @basuki_btp @AhokBasuki_btp @kaesangp @gibran_tweet @bobbynasution_"",""1762979053416731042"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/Adv_ERAT/status/1762979053416731042"",""609620003"",""Adv_ERAT""";;;
"1762978925826003073,""Wed Feb 28 23:11:45 +0000 2024"",""0"",""Sejak pakde berkuasa banyak pelanggaran yg terjadi hingga lahir anak haram konstitusi lolos nya Gibran jadi wacapres cilaka nya bangsa ini cenderung induvidualisme juga aparat penegak hukum dn TNI...jadi bagai tertiup angin...sirna."",""1762978925826003073"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/EddiSukarj22098/status/1762978925826003073"",""1646986207463878658"",""EddiSukarj22098""";;;;
"1762874338355843535,""Wed Feb 28 23:11:40 +0000 2024"",""1"",""@__AnakKolong @Megatop99 @gibran_tweet @Syarman59 @Cintada16 @ekokuntadhi1 @islah_bahrawi @AbankTho2 @anggi_ell26290 @AriesTry7074 @Anak__Ogi @gm_gm Dihutan..."",""1762978905550659706"","""",""__AnakKolong"",""in"",""Tapal Kuda, Indonesia"",""0"",""0"",""0"",""https://x.com/Adhi_Beka2/status/1762978905550659706"",""799637433847382017"",""Adhi_Beka2""";;;;
"1762978713678107084,""Wed Feb 28 23:10:54 +0000 2024"",""1"","": Kalo saya kepilih ini program yang saya jalanin. Gratis tis tis~ *Beneran kepilih* Jadi gimana pak programnya sepertinya akan makan banyak biaya untuk yg gratis gratis ini. Bagaimana cara realisasinya? : https://t.co/RbWPqGhyA8"",""1762978713678107084"",""https://pbs.twimg.com/tweet_video_thumb/GHdbyRyaUAAOGeo.jpg"","""",""in"",""Jakarta, Indonesia"",""0"",""2"",""0"",""https://x.com/Gibransansa/status/1762978713678107084"",""282992671"",""Gibransansa""";;;;
"1762978278254800978,""Wed Feb 28 23:09:10 +0000 2024"",""0"",""Uang serebu udah kaya tetesan air ujan ae.."",""1762978278254800978"","""","""",""in"",""Bandung, Jawa Barat"",""0"",""0"",""0"",""https://x.com/GibranRamadha/status/1762978278254800978"",""924729636"",""GibranRamadha""";;;;
"1762733958796894287,""Wed Feb 28 23:08:25 +0000 2024"",""0"",""@archaesd @flufflatte @ghalibahmd @brosamsulae @loisdaponti @DadBorneo @Miduk17 Suara 58% org yg memenangkan prabowo gibran. 58% itu terdiri manusia2 hebat termasuk guru besar dll. Jadi stop opini jelek lo"",""1762978087095177380"","""",""archaesd"",""in"",""Indonesia"",""0"",""2"",""0"",""https://x.com/vinavinvinaa/status/1762978087095177380"",""394664846"",""vinavinvinaa""";;;;
"1762494342886035857,""Wed Feb 28 23:06:23 +0000 2024"",""0"",""@maspandam @gibran_tweet Ini jejak kaki mungkin"",""1762977577323594022"","""",""gusjunun"",""in"","""",""0"",""0"",""0"",""https://x.com/millajamillah24/status/1762977577323594022"",""1753192053352402944"",""millajamillah24""";;;;
"1762748014995874216,""Wed Feb 28 23:04:40 +0000 2024"",""1"",""@PatubMbel @gibran_tweet Aku yo mikir ngono kok rasane wedi tinggal nunggu pemicu. Krisis ekonomi wis rampung tenan iki do muntab. Mung saiki ketulung ono kerjoan driver online karo pay later gampang iso nggo ngulur ngelih."",""1762977145033548046"","""",""PatubMbel"",""in"","""",""0"",""0"",""0"",""https://x.com/superfai77/status/1762977145033548046"",""322371443"",""superfai77""";;;;
"1762977001013645511,""Wed Feb 28 23:04:06 +0000 2024"",""2"",""p @prabowo @gibran_tweet gw lactose intolerant susunya blh ganti jd minuman lain g request"",""1762977001013645511"","""","""",""in"",""fh unpad 24"",""0"",""0"",""0"",""https://x.com/kesengklek/status/1762977001013645511"",""1177845585887383552"",""kesengklek""";;;;
"1762786490860605629,""Wed Feb 28 23:03:44 +0000 2024"",""0"",""@toe_giman Walikotanya masih gibran ya? Otw menjabat di istana Otw kang bakso se indonesia juga kena pajak Jajan bakso pinggir jalan kena PPN 11% Beli cuanki 5rb eun jadi 5550 "",""1762976908399280480"","""",""toe_giman"",""in"","""",""0"",""0"",""0"",""https://x.com/miminions_/status/1762976908399280480"",""156588758"",""miminions_""";;;;
"1762976779038491064,""Wed Feb 28 23:03:13 +0000 2024"",""0"",""Hitung Suara Pemilu Presiden Dan Wakil Presiden 2024 Singapura Singapura Anies Rasyid Baswedan - Abdul Muhaimin Iskandar : 3261 (10 73%) Prabowo Subianto - Gibran Rakabuming Raka : 18567 (61 07%) Ganjar Pranowo - Mahfud Md : 8576 (28 20%) Progress : 100% @KPU_ID"",""1762976779038491064"","""","""",""in"",""Sukoharjo, Indonesia"",""0"",""0"",""0"",""https://x.com/YAPSKH72/status/1762976779038491064"",""1177967862880718848"",""YAPSKH72""";;;;
"1762976769483985070,""Wed Feb 28 23:03:11 +0000 2024"",""1"",""dua tiga ipk gibran empat lima bakar gw woy gyuhannnn"",""1762976769483985070"","""","""",""in"",""es teh"",""0"",""0"",""0"",""https://x.com/ramenwonogiri/status/1762976769483985070"",""1231083309091807237"",""ramenwonogiri""";;;;
"1762976761242116470,""Wed Feb 28 23:03:09 +0000 2024"",""2"",""apa hebatnya menkes yg sekarang? . https://t.co/NDTwrkOikf . @prabowo @gibran_tweet @fadlizon @Dahnilanzar @habiburokhman @andre_rosiade @TedInvestigasi . https://t.co/tPszA8ZgLq"",""1762976761242116470"",""https://pbs.twimg.com/media/GHdaA16aYAEZ-PO.jpg"","""",""in"",""FlatEarth"",""0"",""1"",""2"",""https://x.com/zidanpragata/status/1762976761242116470"",""346790871"",""zidanpragata""";;;;
"1762597915804188749,""Wed Feb 28 23:02:08 +0000 2024"",""1"",""@jogja_menyapa Kelamaan jadi pejabat Lupa teori kebutuhan primer sekunder tersier Lupa rerata jumlah penduduk Indonesia ekonomi nya seperti apa"",""1762976508753432977"","""",""jogja_menyapa"",""in"",""Indonesia"",""0"",""0"",""1"",""https://x.com/kinoyastilianti/status/1762976508753432977"",""514341659"",""kinoyastilianti""";;;;
"1762296966980182367,""Wed Feb 28 23:01:12 +0000 2024"",""0"",""@DokterTifa @gibran_tweet Anda punya Izasah apakah anda bisa kerja ? Ow ada kerjaan anda kerjaan anda ngegosip "",""1762976270709834008"","""",""DokterTifa"",""in"","""",""0"",""0"",""0"",""https://x.com/MataNetize561/status/1762976270709834008"",""1667883858388488194"",""MataNetize561""";;;;
"1762975975766368355,""Wed Feb 28 23:00:01 +0000 2024"",""0"",""Airlangga Hartarto Sebut Jokowi Punya Peran di Pemerintahan Prabowo-Gibran Apa Itu? https://t.co/g0lEQltPlm"",""1762975975766368355"","""","""",""in"","""",""0"",""0"",""4"",""https://x.com/radaraktual/status/1762975975766368355"",""853782937782714368"",""radaraktual""";;;;
"1762831553091321907,""Wed Feb 28 22:58:37 +0000 2024"",""1"",""@wachyumkiji @TeddGus Gausah bawa-bawa kami orang sulawesi utara. Sulawesi utara bersama prabowo-gibran"",""1762975624069795981"","""",""wachyumkiji"",""in"",""Wanea,Manado/Sulawesi utara"",""0"",""0"",""0"",""https://x.com/Alfa_Ponelo/status/1762975624069795981"",""1307120911"",""Alfa_Ponelo""";;;;
